uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta7_trust_physician_assistant_understanding,uta7_trust_physician_assistant_capability,uta7_trust_physician_assistant_benevolence,uta11_trust_pysician_assistant_personalized_understanding,uta11_trust_pysician_assistant_personalized_capability,uta11_trust_pysician_assistant_personalized_benevolence,uta7_id
s079,c27,Junior,Novice,low,20,20,20,20,20,20,c16
s080,c27,Junior,Novice,medium,20,20,20,20,20,20,c16
s081,c27,Junior,Novice,high,20,20,20,20,20,20,c16
s082,c28,Junior,Novice,low,19,18,18,20,19,19,c18
s083,c28,Junior,Novice,medium,19,18,18,20,19,19,c18
s084,c28,Junior,Novice,high,19,18,18,20,19,19,c18
s085,c29,Senior,Expert,low,20,20,20,20,20,20,c19
s086,c29,Senior,Expert,medium,20,20,20,20,20,20,c19
s087,c29,Senior,Expert,high,20,20,20,20,20,20,c19
s088,c30,Senior,Expert,low,20,20,13,20,20,15,c20
s089,c30,Senior,Expert,medium,20,20,13,20,20,15,c20
s090,c30,Senior,Expert,high,20,20,13,20,20,15,c20
s091,c31,Middle,Expert,low,18,18,10,20,19,12,c21
s092,c31,Middle,Expert,medium,18,18,10,20,19,12,c21
s093,c31,Middle,Expert,high,18,18,10,20,19,12,c21
s094,c32,Senior,Expert,low,20,20,15,20,20,20,c22
s095,c32,Senior,Expert,medium,20,20,15,20,20,20,c22
s096,c32,Senior,Expert,high,20,20,15,20,20,20,c22
s097,c33,Middle,Expert,low,20,19,10,20,20,16,c23
s098,c33,Middle,Expert,medium,20,19,10,20,20,16,c23
s099,c33,Middle,Expert,high,20,19,10,20,20,16,c23
s100,c34,Senior,Expert,low,20,20,17,20,20,18,c24
s101,c34,Senior,Expert,medium,20,20,17,20,20,18,c24
s102,c34,Senior,Expert,high,20,20,17,20,20,18,c24
s103,c35,Middle,Expert,low,20,20,5,19,20,10,c25
s104,c35,Middle,Expert,medium,20,20,5,19,20,10,c25
s105,c35,Middle,Expert,high,20,20,5,19,20,10,c25
s106,c36,Middle,Expert,low,20,20,10,20,20,15,c26
s107,c36,Middle,Expert,medium,20,20,10,20,20,15,c26
s108,c36,Middle,Expert,high,20,20,10,20,20,15,c26
s109,c37,Senior,Expert,low,19,19,12,19,19,14,c27
s110,c37,Senior,Expert,medium,19,19,12,19,19,14,c27
s111,c37,Senior,Expert,high,19,19,12,19,19,14,c27
s112,c38,Junior,Novice,low,20,15,15,18,16,18,c28
s113,c38,Junior,Novice,medium,20,15,15,18,16,17,c28
s114,c38,Junior,Novice,high,20,15,15,18,16,19,c28
s115,c39,Middle,Expert,low,20,20,20,20,19,8,c29
s116,c39,Middle,Expert,medium,20,20,20,20,19,8,c29
s117,c39,Middle,Expert,high,20,20,20,20,19,8,c29
s118,c40,Middle,Expert,low,20,19,14,20,19,12,c30
s119,c40,Middle,Expert,medium,20,19,14,20,19,12,c30
s120,c40,Middle,Expert,high,20,19,14,20,19,12,c30
s121,c41,Junior,Novice,low,20,20,16,19,17,14,c31
s122,c41,Junior,Novice,medium,20,20,16,19,17,14,c31
s123,c41,Junior,Novice,high,20,20,16,19,17,14,c31
s124,c42,Junior,Novice,low,15,18,17,18,18,16,c32
s125,c42,Junior,Novice,medium,15,18,17,18,18,16,c32
s126,c42,Junior,Novice,high,15,18,17,18,18,14,c32
s127,c43,Middle,Expert,low,20,14,14,20,19,11,c34
s128,c43,Middle,Expert,medium,20,14,14,20,19,11,c34
s129,c43,Middle,Expert,high,20,14,14,20,19,11,c34
s130,c44,Junior,Novice,low,20,15,15,19,18,19,c35
s131,c44,Junior,Novice,medium,20,15,15,19,18,18,c35
s132,c44,Junior,Novice,high,20,15,15,19,18,18,c35
s133,c45,Junior,Novice,low,20,20,20,20,20,20,c37
s134,c45,Junior,Novice,medium,20,20,20,20,20,20,c37
s135,c45,Junior,Novice,high,20,20,20,20,20,20,c37
s136,c46,Junior,Novice,low,20,20,17,19,18,20,c38
s137,c46,Junior,Novice,medium,20,20,17,19,18,19,c38
s138,c46,Junior,Novice,high,20,20,17,19,18,19,c38
s139,c47,Senior,Expert,low,19,8,1,20,10,8,c39
s140,c47,Senior,Expert,medium,19,8,1,20,10,8,c39
s141,c47,Senior,Expert,high,19,8,1,20,10,8,c39
s142,c48,Middle,Expert,low,20,20,1,20,14,12,c40
s143,c48,Middle,Expert,medium,20,20,1,20,14,12,c40
s144,c48,Middle,Expert,high,20,20,1,20,14,12,c40
s145,c49,Senior,Expert,low,13,15,15,17,16,14,c41
s146,c49,Senior,Expert,medium,13,15,15,17,16,14,c41
s147,c49,Senior,Expert,high,13,15,15,17,16,14,c41
s148,c50,Junior,Novice,low,20,20,18,20,20,20,c42
s149,c50,Junior,Novice,medium,20,20,18,20,20,20,c42
s150,c50,Junior,Novice,high,20,20,18,20,20,20,c42
s151,c51,Middle,Expert,low,20,20,10,19,19,10,c43
s152,c51,Middle,Expert,medium,20,20,10,19,19,10,c43
s153,c51,Middle,Expert,high,20,20,10,19,19,10,c43
s154,c52,Senior,Expert,low,20,20,14,19,15,12,c45
s155,c52,Senior,Expert,medium,20,20,14,19,15,12,c45
s156,c52,Senior,Expert,high,20,20,14,19,15,12,c45
