uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta11_preferences_q1,uta11_preferences_q2,uta11_preferences_q3,uta11_preferences_q4,uta11_preferences_q5,uta11_preferences_q6,uta11_preferences_q7,uta11_preferences_q8,uta11_preferences_q9,uta7_id
s077,c26,Senior,Expert,medium,5,4,4,7,7,7,7,7,7,c14
s078,c26,Senior,Expert,high,5,4,4,7,7,7,7,7,7,c14
s085,c29,Senior,Expert,low,1,1,1,7,7,7,6,6,7,c19
s086,c29,Senior,Expert,medium,1,1,1,7,7,7,5,4,5,c19
s087,c29,Senior,Expert,high,1,1,1,7,7,7,7,6,7,c19
s088,c30,Senior,Expert,low,1,1,1,7,7,7,7,6,7,c20
s089,c30,Senior,Expert,medium,1,1,1,7,7,7,6,5,6,c20
s090,c30,Senior,Expert,high,1,1,1,7,7,7,6,5,6,c20
s091,c31,Middle,Expert,low,6,5,5,4,4,4,6,7,7,c21
s092,c31,Middle,Expert,medium,6,5,5,4,4,4,7,6,6,c21
s093,c31,Middle,Expert,high,6,5,5,4,4,4,7,7,6,c21
s094,c32,Senior,Expert,low,3,5,1,5,5,5,2,2,2,c22
s095,c32,Senior,Expert,medium,3,5,1,5,5,5,2,2,2,c22
s096,c32,Senior,Expert,high,3,5,1,5,5,5,2,2,2,c22
s097,c33,Middle,Expert,low,7,7,6,7,7,7,2,3,3,c23
s098,c33,Middle,Expert,medium,7,7,6,7,7,7,4,5,4,c23
s099,c33,Middle,Expert,high,7,7,6,7,7,7,3,4,4,c23
s100,c34,Senior,Expert,low,1,1,1,7,7,7,4,4,4,c24
s101,c34,Senior,Expert,medium,1,1,1,7,7,7,4,4,4,c24
s102,c34,Senior,Expert,high,1,1,1,7,7,7,4,4,4,c24
s103,c35,Middle,Expert,low,1,3,1,7,7,7,6,7,7,c25
s104,c35,Middle,Expert,medium,1,3,1,7,7,7,7,5,7,c25
s105,c35,Middle,Expert,high,1,3,1,7,7,7,7,7,7,c25
s106,c36,Middle,Expert,low,5,4,4,6,6,6,3,3,2,c26
s107,c36,Middle,Expert,medium,5,4,4,6,6,6,3,4,3,c26
s108,c36,Middle,Expert,high,5,4,4,6,6,6,3,3,3,c26
s109,c37,Senior,Expert,low,2,4,1,3,3,3,2,3,3,c27
s110,c37,Senior,Expert,medium,2,4,1,3,3,3,2,3,3,c27
s111,c37,Senior,Expert,high,2,4,1,3,3,3,3,3,3,c27
s115,c39,Middle,Expert,low,1,1,1,2,2,2,5,5,5,c29
s116,c39,Middle,Expert,medium,1,1,1,2,2,2,5,5,5,c29
s117,c39,Middle,Expert,high,1,1,1,2,2,2,5,5,5,c29
s118,c40,Middle,Expert,low,1,1,1,5,5,5,1,1,1,c30
s119,c40,Middle,Expert,medium,1,1,1,5,5,5,1,1,1,c30
s120,c40,Middle,Expert,high,1,1,1,5,5,5,1,2,1,c30
s127,c43,Middle,Expert,low,4,2,3,7,7,7,7,7,7,c34
s128,c43,Middle,Expert,medium,4,2,3,7,7,7,6,7,7,c34
s129,c43,Middle,Expert,high,4,2,3,7,7,7,7,6,7,c34
s139,c47,Senior,Expert,low,1,1,1,4,4,4,3,7,5,c39
s140,c47,Senior,Expert,medium,1,1,1,4,4,4,4,2,5,c39
s141,c47,Senior,Expert,high,1,1,1,4,4,4,5,4,5,c39
s142,c48,Middle,Expert,low,2,1,1,1,1,1,5,4,5,c40
s143,c48,Middle,Expert,medium,2,1,1,1,1,1,5,4,5,c40
s144,c48,Middle,Expert,high,2,1,1,1,1,1,6,3,5,c40
s145,c49,Senior,Expert,low,6,6,6,7,7,7,1,1,1,c41
s146,c49,Senior,Expert,medium,6,6,6,7,7,7,1,2,1,c41
s147,c49,Senior,Expert,high,6,6,6,7,7,7,2,1,1,c41
s151,c51,Middle,Expert,low,1,1,1,5,5,5,3,4,4,c43
s152,c51,Middle,Expert,medium,1,1,1,5,5,5,6,5,5,c43
s153,c51,Middle,Expert,high,1,1,1,5,5,5,5,7,6,c43
s154,c52,Senior,Expert,low,1,2,1,6,6,6,6,6,6,c45
s155,c52,Senior,Expert,medium,1,2,1,6,6,6,4,7,6,c45
s156,c52,Senior,Expert,high,1,2,1,6,6,6,6,6,6,c45
s001,c01,Intern,Novice,low,1,1,1,1,1,1,7,7,7,c46
s002,c01,Intern,Novice,medium,1,1,1,1,1,1,6,7,7,c46
s003,c01,Intern,Novice,high,1,1,1,1,1,1,7,6,7,c46
s004,c02,Intern,Novice,low,6,6,6,2,2,2,5,5,6,c06
s005,c02,Intern,Novice,medium,6,6,6,2,2,2,6,7,6,c06
s006,c02,Intern,Novice,high,6,6,6,2,2,2,6,6,6,c06
s007,c03,Intern,Novice,low,6,6,6,2,2,2,6,7,7,c47
s008,c03,Intern,Novice,medium,6,6,6,2,2,2,7,6,7,c47
s009,c03,Intern,Novice,high,6,6,6,2,2,2,7,6,7,c47
s010,c04,Intern,Novice,low,6,6,6,1,1,1,7,7,6,c44
s011,c04,Intern,Novice,medium,6,6,6,1,1,1,7,7,7,c44
s012,c04,Intern,Novice,high,6,6,6,1,1,1,7,7,7,c44
s013,c05,Junior,Novice,low,1,2,2,1,1,1,7,6,7,c36
s014,c05,Junior,Novice,medium,1,2,2,1,1,1,7,7,7,c36
s015,c05,Junior,Novice,high,1,2,2,1,1,1,7,7,7,c36
s016,c06,Junior,Novice,low,6,6,6,2,2,2,7,7,7,c15
s017,c06,Junior,Novice,medium,6,6,6,2,2,2,6,7,7,c15
s018,c06,Junior,Novice,high,6,6,6,2,2,2,7,7,7,c15
s019,c07,Junior,Novice,low,7,7,7,1,1,1,7,7,7,c05
s020,c07,Junior,Novice,medium,7,7,7,1,1,1,7,7,7,c05
s021,c07,Junior,Novice,high,7,7,7,1,1,1,7,7,6,c05
s022,c08,Intern,Novice,low,3,3,3,1,1,1,6,7,7,c33
s023,c08,Intern,Novice,medium,3,3,3,1,1,1,7,7,7,c33
s024,c08,Intern,Novice,high,3,3,3,1,1,1,7,7,7,c33
s025,c09,Junior,Novice,low,6,6,6,1,1,1,7,6,7,c48
s026,c09,Junior,Novice,medium,6,6,6,1,1,1,6,7,7,c48
s027,c09,Junior,Novice,high,6,6,6,1,1,1,7,7,7,c48
s028,c10,Intern,Novice,low,6,6,6,2,2,2,7,7,7,c49
s029,c10,Intern,Novice,medium,6,6,6,2,2,2,6,7,7,c49
s030,c10,Intern,Novice,high,6,6,6,2,2,2,7,7,6,c49
s049,c17,Junior,Novice,low,5,4,3,1,1,1,4,7,6,c02
s050,c17,Junior,Novice,medium,5,4,3,1,1,1,7,5,6,c02
s051,c17,Junior,Novice,high,5,4,3,1,1,1,5,6,6,c02
s052,c18,Junior,Novice,low,6,5,4,1,1,1,1,3,1,c03
s053,c18,Junior,Novice,medium,6,5,4,1,1,1,2,1,1,c03
s054,c18,Junior,Novice,high,6,5,4,1,1,1,1,2,1,c03
s055,c19,Junior,Novice,low,6,5,4,3,3,3,1,3,3,c04
s056,c19,Junior,Novice,medium,6,5,4,3,3,3,3,2,3,c04
s057,c19,Junior,Novice,high,6,5,4,3,3,3,3,2,3,c04
s058,c20,Junior,Novice,low,3,2,1,1,1,1,1,2,1,c07
s059,c20,Junior,Novice,medium,3,2,1,1,1,1,2,1,1,c07
s060,c20,Junior,Novice,high,3,2,1,1,1,1,1,3,1,c07
s079,c27,Junior,Novice,low,4,3,3,5,5,5,5,4,4,c16
s080,c27,Junior,Novice,medium,4,3,3,5,5,5,4,3,4,c16
s081,c27,Junior,Novice,high,4,3,3,5,5,5,4,5,4,c16
s082,c28,Junior,Novice,low,5,7,5,1,1,1,3,3,4,c18
s083,c28,Junior,Novice,medium,5,7,5,1,1,1,4,2,3,c18
s084,c28,Junior,Novice,high,5,7,5,1,1,1,3,2,3,c18
s112,c38,Junior,Novice,low,5,4,4,6,6,6,2,2,2,c28
s113,c38,Junior,Novice,medium,5,4,4,6,6,6,2,2,2,c28
s114,c38,Junior,Novice,high,5,4,4,6,6,6,2,2,2,c28
s121,c41,Junior,Novice,low,3,2,2,1,1,1,3,5,4,c31
s122,c41,Junior,Novice,medium,3,2,2,1,1,1,4,3,4,c31
s123,c41,Junior,Novice,high,3,2,2,1,1,1,4,4,4,c31
s124,c42,Junior,Novice,low,4,3,4,1,1,1,2,2,2,c32
s125,c42,Junior,Novice,medium,4,3,4,1,1,1,2,1,2,c32
s126,c42,Junior,Novice,high,4,3,4,1,1,1,3,1,2,c32
s130,c44,Junior,Novice,low,5,5,5,1,1,1,6,5,5,c35
s131,c44,Junior,Novice,medium,5,5,5,1,1,1,3,7,5,c35
s132,c44,Junior,Novice,high,5,5,5,1,1,1,4,5,5,c35
s133,c45,Junior,Novice,low,1,1,2,4,4,4,7,6,7,c37
s134,c45,Junior,Novice,medium,1,1,2,4,4,4,7,6,7,c37
s135,c45,Junior,Novice,high,1,1,2,4,4,4,7,7,7,c37
s136,c46,Junior,Novice,low,5,4,4,7,7,7,1,1,1,c38
s137,c46,Junior,Novice,medium,5,4,4,7,7,7,1,2,1,c38
s138,c46,Junior,Novice,high,5,4,4,7,7,7,1,2,1,c38
s148,c50,Junior,Novice,low,2,3,7,1,1,1,6,5,6,c42
s149,c50,Junior,Novice,medium,2,3,7,1,1,1,7,4,6,c42
s150,c50,Junior,Novice,high,2,3,7,1,1,1,7,5,6,c42
