uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta4_time_on_task_no_ai,uta7_time_on_task_physician_assistant,uta11_time_on_task_pysician_assistant_personalized,uta7_id
s141,c47,Senior,Expert,high,154,153,107,c39
s142,c48,Middle,Expert,low,219,114,81,c40
s143,c48,Middle,Expert,medium,180,267,173,c40
s144,c48,Middle,Expert,high,167,164,114,c40
s145,c49,Senior,Expert,low,203,191,188,c41
s146,c49,Senior,Expert,medium,129,192,174,c41
s147,c49,Senior,Expert,high,169,112,109,c41
s148,c50,Junior,Novice,low,256,198,148,c42
s149,c50,Junior,Novice,medium,162,208,157,c42
s150,c50,Junior,Novice,high,183,146,131,c42
s151,c51,Middle,Expert,low,186,156,144,c43
s152,c51,Middle,Expert,medium,114,164,101,c43
s153,c51,Middle,Expert,high,159,118,106,c43
s154,c52,Senior,Expert,low,208,191,165,c45
s155,c52,Senior,Expert,medium,207,204,182,c45
s156,c52,Senior,Expert,high,244,193,166,c45
