uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta7_workload_q1,uta7_workload_q2,uta7_workload_q3,uta7_workload_q4,uta7_workload_q5,uta7_workload_q6,uta11_workload_q1,uta11_workload_q2,uta11_workload_q3,uta11_workload_q4,uta11_workload_q5,uta11_workload_q6,uta7_id
s028,c10,Intern,Novice,low,1,1,1,20,1,2,1,1,1,20,1,1,c49
s029,c10,Intern,Novice,medium,1,1,1,20,1,2,1,1,1,20,1,1,c49
s030,c10,Intern,Novice,high,1,1,1,20,1,2,1,1,1,20,1,1,c49
s031,c11,Senior,Expert,low,5,5,7,16,5,5,2,1,3,20,3,1,c01
s032,c11,Senior,Expert,medium,5,5,7,16,5,5,1,1,3,19,1,1,c01
s033,c11,Senior,Expert,high,5,5,7,16,5,5,2,1,3,20,2,1,c01
s034,c12,Senior,Expert,low,3,3,3,18,3,2,1,2,2,20,2,1,c50
s035,c12,Senior,Expert,medium,3,3,3,18,3,2,1,2,2,20,2,1,c50
s036,c12,Senior,Expert,high,5,3,5,17,6,3,3,3,3,18,4,2,c50
s037,c13,Senior,Expert,low,3,2,5,8,3,2,1,1,3,10,1,1,c51
s038,c13,Senior,Expert,medium,3,2,5,16,4,2,1,1,3,19,2,1,c51
s039,c13,Senior,Expert,high,8,3,2,18,4,2,6,2,1,20,2,1,c51
s040,c14,Senior,Expert,low,3,4,3,17,2,2,1,1,1,4,1,1,c17
s041,c14,Senior,Expert,medium,3,4,3,17,2,2,1,1,1,4,1,1,c17
s042,c14,Senior,Expert,high,3,4,3,17,2,2,1,1,1,20,1,1,c17
s043,c15,Senior,Expert,low,4,2,12,18,2,1,2,2,2,19,2,2,c11
s044,c15,Senior,Expert,medium,4,2,12,18,2,1,1,1,1,20,1,1,c11
s045,c15,Senior,Expert,high,4,2,12,18,2,1,1,1,1,20,1,1,c11
s046,c16,Senior,Expert,low,3,3,4,18,3,3,1,1,1,20,2,1,c52
s047,c16,Senior,Expert,medium,3,3,4,10,2,3,1,1,1,8,1,1,c52
s048,c16,Senior,Expert,high,3,3,4,18,2,3,1,1,1,20,1,1,c52
s049,c17,Junior,Novice,low,2,1,3,18,2,1,2,1,3,19,2,1,c02
s050,c17,Junior,Novice,medium,2,1,3,18,2,1,2,1,3,19,2,1,c02
s051,c17,Junior,Novice,high,2,1,3,18,2,1,2,1,3,19,2,1,c02
s052,c18,Junior,Novice,low,1,1,1,15,4,10,1,1,2,14,4,10,c03
s053,c18,Junior,Novice,medium,1,1,1,15,4,10,1,1,2,16,4,10,c03
s054,c18,Junior,Novice,high,1,1,1,15,4,10,3,1,2,15,4,10,c03
s055,c19,Junior,Novice,low,1,1,1,20,1,1,1,2,3,20,1,1,c04
s056,c19,Junior,Novice,medium,1,1,1,20,1,1,1,2,3,20,1,1,c04
s057,c19,Junior,Novice,high,1,1,1,20,1,1,1,2,3,20,1,1,c04
s058,c20,Junior,Novice,low,2,1,2,11,2,1,3,1,2,13,2,1,c07
s059,c20,Junior,Novice,medium,2,1,2,11,2,1,3,1,2,13,2,1,c07
s060,c20,Junior,Novice,high,2,1,2,11,2,1,3,1,2,14,2,1,c07
s061,c21,Senior,Expert,low,10,10,10,15,10,5,9,9,12,16,10,5,c08
s062,c21,Senior,Expert,medium,10,10,10,15,10,5,12,9,12,17,10,5,c08
s063,c21,Senior,Expert,high,10,10,10,15,10,5,9,9,12,17,10,5,c08
s064,c22,Middle,Expert,low,10,1,1,20,1,3,10,2,1,20,1,3,c09
s065,c22,Middle,Expert,medium,10,1,1,20,1,3,11,2,1,20,1,3,c09
s066,c22,Middle,Expert,high,10,1,1,20,1,3,10,2,1,20,1,3,c09
s067,c23,Senior,Expert,low,1,1,1,20,1,1,5,1,1,20,1,1,c10
s068,c23,Senior,Expert,medium,1,1,1,20,1,1,3,1,1,20,1,1,c10
s069,c23,Senior,Expert,high,1,1,1,20,1,1,2,1,1,20,1,1,c10
s070,c24,Middle,Expert,low,1,1,5,10,2,2,5,1,5,12,2,2,c12
s071,c24,Middle,Expert,medium,1,1,5,10,2,2,3,1,5,12,2,2,c12
s072,c24,Middle,Expert,high,1,1,5,10,2,2,3,1,5,12,2,2,c12
s073,c25,Senior,Expert,low,10,1,2,18,5,1,10,1,2,18,5,1,c13
s074,c25,Senior,Expert,medium,10,1,2,18,5,1,10,3,2,18,5,1,c13
s075,c25,Senior,Expert,high,10,1,2,18,5,1,10,3,2,18,5,1,c13
s076,c26,Senior,Expert,low,1,1,1,19,1,1,1,3,1,19,1,1,c14
s077,c26,Senior,Expert,medium,1,1,1,19,1,1,1,1,1,19,1,1,c14
s078,c26,Senior,Expert,high,1,1,1,19,1,1,1,1,1,19,1,1,c14
s079,c27,Junior,Novice,low,3,1,1,17,1,2,3,1,3,18,1,2,c16
s080,c27,Junior,Novice,medium,3,1,1,17,1,2,3,1,3,18,1,2,c16
s081,c27,Junior,Novice,high,3,1,1,17,1,2,3,1,3,18,1,2,c16
s082,c28,Junior,Novice,low,1,1,5,10,2,2,1,1,5,14,2,2,c18
s083,c28,Junior,Novice,medium,1,1,5,10,2,2,1,1,5,14,2,2,c18
s084,c28,Junior,Novice,high,1,1,5,10,2,2,1,1,5,14,2,2,c18
s085,c29,Senior,Expert,low,8,5,8,13,8,10,6,4,8,15,8,10,c19
s086,c29,Senior,Expert,medium,8,5,8,13,8,10,6,4,8,15,8,10,c19
s087,c29,Senior,Expert,high,8,5,8,13,8,10,6,4,8,15,8,10,c19
s088,c30,Senior,Expert,low,7,5,5,9,4,6,9,5,5,12,4,6,c20
s089,c30,Senior,Expert,medium,7,5,5,9,4,6,7,5,5,12,4,6,c20
s090,c30,Senior,Expert,high,7,5,5,9,4,6,9,5,5,12,4,6,c20
s091,c31,Middle,Expert,low,8,2,10,10,5,2,8,2,13,12,3,2,c21
s092,c31,Middle,Expert,medium,8,2,10,10,5,2,8,2,15,12,3,2,c21
s093,c31,Middle,Expert,high,8,2,10,10,5,2,7,2,13,12,3,2,c21
s094,c32,Senior,Expert,low,6,5,5,14,6,1,5,5,5,17,8,1,c22
s095,c32,Senior,Expert,medium,6,5,5,14,6,1,6,5,7,17,8,1,c22
s096,c32,Senior,Expert,high,6,5,5,14,6,1,6,5,5,17,8,1,c22
s097,c33,Middle,Expert,low,3,3,5,8,3,2,4,3,8,10,3,2,c23
s098,c33,Middle,Expert,medium,3,3,5,8,3,2,3,3,8,10,3,2,c23
s099,c33,Middle,Expert,high,3,3,5,8,3,2,3,3,5,10,3,2,c23
s100,c34,Senior,Expert,low,1,2,1,12,1,1,1,2,1,12,3,1,c24
s101,c34,Senior,Expert,medium,1,2,1,12,1,1,1,2,1,12,3,1,c24
s102,c34,Senior,Expert,high,1,2,1,12,1,1,1,2,1,12,3,1,c24
s103,c35,Middle,Expert,low,5,4,4,16,4,15,5,4,3,15,2,13,c25
s104,c35,Middle,Expert,medium,5,4,4,16,4,15,7,4,3,15,2,13,c25
s105,c35,Middle,Expert,high,5,4,4,16,4,15,5,4,3,15,2,13,c25
s106,c36,Middle,Expert,low,3,3,3,10,5,1,3,1,4,12,5,1,c26
s107,c36,Middle,Expert,medium,3,3,3,10,5,1,3,1,4,12,5,1,c26
s108,c36,Middle,Expert,high,3,3,3,10,5,1,3,1,4,12,5,1,c26
s109,c37,Senior,Expert,low,6,6,2,12,4,5,6,6,2,12,4,5,c27
s110,c37,Senior,Expert,medium,6,6,2,12,4,5,12,6,2,12,4,5,c27
s111,c37,Senior,Expert,high,6,6,2,12,4,5,6,6,2,12,4,5,c27
s112,c38,Junior,Novice,low,1,1,5,11,1,17,2,1,5,13,1,14,c28
s113,c38,Junior,Novice,medium,1,1,5,11,1,17,2,1,8,13,1,14,c28
s114,c38,Junior,Novice,high,1,1,5,11,1,17,2,1,5,13,1,14,c28
s115,c39,Middle,Expert,low,2,2,3,20,3,1,3,2,3,20,3,1,c29
s116,c39,Middle,Expert,medium,2,2,3,20,3,1,3,2,5,20,3,1,c29
s117,c39,Middle,Expert,high,2,2,3,20,3,1,3,2,3,20,3,1,c29
s118,c40,Middle,Expert,low,4,2,4,16,3,1,2,2,4,16,3,1,c30
s119,c40,Middle,Expert,medium,4,2,4,16,3,1,2,2,4,15,3,1,c30
s120,c40,Middle,Expert,high,4,2,4,16,3,1,2,2,5,15,3,1,c30
s121,c41,Junior,Novice,low,2,1,4,18,2,6,4,1,5,17,2,6,c31
s122,c41,Junior,Novice,medium,2,1,4,18,2,6,4,1,11,17,2,6,c31
s123,c41,Junior,Novice,high,2,1,4,18,2,6,4,1,4,17,2,6,c31
s124,c42,Junior,Novice,low,3,3,3,11,5,13,2,3,3,12,5,13,c32
s125,c42,Junior,Novice,medium,3,3,3,11,5,13,2,3,3,12,5,13,c32
s126,c42,Junior,Novice,high,3,3,3,11,5,13,5,3,3,12,5,13,c32
s127,c43,Middle,Expert,low,4,4,4,14,2,2,4,4,6,15,4,2,c34
s128,c43,Middle,Expert,medium,4,4,4,14,2,2,4,4,6,14,4,2,c34
s129,c43,Middle,Expert,high,4,4,4,14,2,2,4,4,6,15,4,2,c34
s130,c44,Junior,Novice,low,10,1,12,18,10,1,8,1,10,18,8,1,c35
s131,c44,Junior,Novice,medium,10,1,12,18,10,1,8,1,10,16,8,1,c35
s132,c44,Junior,Novice,high,10,1,12,18,10,1,8,1,13,18,8,1,c35
s133,c45,Junior,Novice,low,5,2,2,15,2,5,7,2,2,13,2,5,c37
s134,c45,Junior,Novice,medium,5,2,2,15,2,5,7,2,1,13,2,5,c37
s135,c45,Junior,Novice,high,5,2,2,15,2,5,7,2,1,15,2,5,c37
s136,c46,Junior,Novice,low,5,2,2,15,2,2,5,2,5,15,2,2,c38
s137,c46,Junior,Novice,medium,5,2,2,15,2,2,5,2,1,15,2,2,c38
s138,c46,Junior,Novice,high,5,2,2,15,2,2,5,2,2,17,2,2,c38
s139,c47,Senior,Expert,low,2,5,2,9,2,12,2,5,8,9,2,12,c39
s140,c47,Senior,Expert,medium,2,5,2,9,2,12,3,5,7,9,2,12,c39
s141,c47,Senior,Expert,high,2,5,2,9,2,12,2,5,2,9,2,12,c39
s142,c48,Middle,Expert,low,5,8,1,11,2,3,5,8,1,12,4,3,c40
s143,c48,Middle,Expert,medium,5,8,1,11,2,3,5,8,1,12,4,3,c40
s144,c48,Middle,Expert,high,5,8,1,11,2,3,5,8,1,13,4,3,c40
s145,c49,Senior,Expert,low,13,10,2,14,7,5,13,10,3,13,5,5,c41
s146,c49,Senior,Expert,medium,13,10,2,14,7,5,13,10,3,14,5,5,c41
s147,c49,Senior,Expert,high,13,10,2,14,7,5,13,10,3,13,5,5,c41
s148,c50,Junior,Novice,low,2,5,3,20,1,1,2,5,7,20,1,1,c42
s149,c50,Junior,Novice,medium,2,5,3,20,1,1,2,5,6,20,1,1,c42
s150,c50,Junior,Novice,high,2,5,3,20,1,1,2,5,4,20,1,1,c42
s151,c51,Middle,Expert,low,5,5,5,18,5,1,6,5,4,16,3,1,c43
s152,c51,Middle,Expert,medium,5,5,5,18,5,1,6,5,8,16,3,1,c43
s153,c51,Middle,Expert,high,5,5,5,18,5,1,12,5,8,17,3,1,c43
s154,c52,Senior,Expert,low,5,1,5,13,5,1,4,1,6,15,7,1,c45
s155,c52,Senior,Expert,medium,5,1,5,13,5,1,8,1,6,15,7,1,c45
s156,c52,Senior,Expert,high,5,1,5,13,5,1,8,1,6,14,7,1,c45
